facility_id,year,facility_name,state,city,county,lat,lon,parent_name,ownership_share,co2_ghgrp_metric,attributed_co2_ghgrp_metric,co2_cems_metric,cems_n_oris_codes,gross_load_mwh,heat_input_mmbtu,has_cems,co2_ct_metric,n_ct_assets,mean_match_distance_km,has_ct,n_sources,is_clustered
1000141,2011,Blue Spruce Energy Center,CO,AURORA,Adams,39.7436,-104.68,XCEL ENERGY INC,1.0,191911.152,191911.152,191654.05131408,1.0,295381.80000000005,3540978.367,True,,,,False,2,False
1014676,2011,Blue Water Energy,MI,East China Township,ST. CLAIR COUNTY,42.775839,-82.481747,DTE ENERGY CO,1.0,,,,,,,False,,,,False,0,True
1001341,2011,Bluegrass Generating Station,KY,LA GRANGE,Oldham,38.3902,-85.4133,EAST KENTUCKY POWER COOPERATIVE INC,1.0,20541.376,20541.376,20520.021212325,1.0,34559.020000000004,380608.055,True,,,,False,2,False
1000811,2011,Bobby C. Smith Jr. Energy Facility,GA,RINCON,Effingham,32.2792,-81.2842,OGLETHORPE POWER CORP,1.0,819902.812,819902.812,818622.629269125,1.0,1401785.5,15184174.425,True,,,,False,2,False
1008020,2011,Bosque County Power Plant,TX,Laguna Park,Bosque,31.8594,-97.3586,CPN MANAGEMENT LP,1.0,638950.432,638950.432,637969.82992023,1.0,1055534.17,11833165.135,True,,,,False,2,False
1001505,2011,Bowen,GA,CARTERSVILLE,Bartow,34.1256,-84.9192,THE SOUTHERN CO,1.0,15051886.116,15051886.116,14927889.860143123,1.0,16746152.45,160382517.752,True,,,,False,2,False
1001041,2011,Brame Energy Center,LA,LENA,Rapides,31.395,-92.7167,CLECO CORPORATE HOLDINGS LLC,0.7615999999999999,7059216.388,5376299.2011008,7041729.392341604,1.0,7641328.77,78524201.53899999,True,,,,False,2,False
1001481,2011,Brandon Shores LLC,MD,Baltimore,Anne Arundel,39.1792,-76.5383,TALEN ENERGY CORP,1.0,6045454.982,6045454.982,5996873.027646691,1.0,6517351.62,64429104.643,True,,,,False,2,True
1000798,2011,"Brazos Valley Energy, LP",TX,THOMPSONS,Fort Bend,29.4731,-95.6244,CPN MANAGEMENT LP,1.0,927701.512,927701.512,926689.302413295,1.0,2407418.0700000003,17188768.522,True,,,,False,2,True
1006949,2011,Bridgeport Harbor Station,CT,BRIDGEPORT,Fairfield,41.1706,-73.1843,ARCLIGHT ENERGY PARTNERS FUND VII LP,1.0,507168.982,507168.982,502642.29923560505,1.0,529692.42,5287263.939,True,,,,False,2,False
