cems_facility_id,year,co2_cems_metric,gross_load_mwh,heat_input_mmbtu,n_units
7837,2015,248801.61156312,406608.22,4535707.954,5
7837,2016,228119.95629215997,372196.36,4145211.716,5
7837,2017,158145.336289455,263242.54,2881759.874,5
7837,2018,334236.22704558,544658.27,6108870.284,5
7837,2019,301074.88313649,493462.5,5580958.983,5
7837,2020,215959.63850454,361468.01,4005133.685,5
7837,2021,290932.7598603,487086.87,5370564.877,5
7837,2022,153123.105698355,241512.68,2762360.315,5
7837,2023,157153.8529377,245545.58,2912576.505,5
7837,2024,335770.26871591504,532645.8200000001,6211543.763,5
7838,2011,159777.351218235,279356.82,2881277.632,4
7838,2012,167044.247798535,299484.35,3092390.178,4
7838,2013,325617.01700133004,595287.14,6028572.861,4
7838,2014,254948.79419191502,447067.16,4549453.831,4
7838,2015,485325.29606085,891804.01,8924208.434,4
7838,2016,368800.01364735,667996.44,6806695.171,4
7838,2017,280826.306191125,508488.67000000004,5165107.937,4
7838,2018,526490.09819544,954398.21,9614509.945999999,4
7838,2019,161021.37673029,293648.81,2968528.454,4
7838,2020,380758.073632035,697842.41,7055949.973999999,4
7838,2021,277753.636123095,497662.36,5123664.057,4
7838,2022,400695.96693045,706386.25,7245536.364,4
7838,2023,165578.39922465,308791.01,3046871.113,4
7838,2024,458721.58337632497,867173.62,8446357.084999999,4
7839,2011,219537.001896435,402475.83,4063996.829,5
7839,2012,316866.039243015,584396.65,5874499.674,5
7839,2013,421717.28678037,787387.55,7713569.837,5
7839,2014,421781.62524775503,752182.46,7482930.9120000005,5
7839,2015,246560.00913766504,444806.27,4456606.673,5
7839,2016,417398.533704705,772332.6,7665186.903,5
7839,2017,318217.683204435,574938.99,5716500.618,5
7839,2018,389179.40031942003,707287.89,7043619.153000001,5
7839,2019,353840.11750662,658678.98,6507058.278,5
7839,2020,619470.70028034,1158721.3900000001,11435831.524,5
7839,2021,267987.566430585,476027.92,4846898.377,5
7839,2022,499583.514541185,877969.33,8957829.605,5
7839,2023,470545.74104064004,853290.57,8678748.669,5
7839,2024,448849.37576037,815633.95,8199095.173,5
7842,2011,2331.83013837,4422.4,43247.961,1
7842,2012,3103.908983505,5802.49,57583.265,1
7842,2013,650.03252553,1218.82,12061.736,1
7842,2014,379.200608445,715.98,7034.647,1
7842,2015,612.66013227,1161.04,11366.337,1
7842,2016,1818.846957975,3427.42,33742.935,1
7842,2017,1111.596460125,2055.65,20615.351,1
7842,2018,985.02691611,1658.66,18272.479,1
7842,2019,84.95061777,155.03,1576.466,1
7842,2020,497.69620596,924.4,9231.402,1
7842,2021,949.75374894,1680.89,17614.517,1
7842,2022,1013.55969873,1829.35,18796.207,1
7842,2023,567.196555995,1084.49,10521.7,1
7842,2024,0.0,0.0,0.0,1
7843,2011,47691.046572525,70470.57,884368.76,3
7843,2012,107335.232558295,172837.07,1990907.118,3
7843,2013,108697.623033225,164473.34,2014199.296,3
7843,2014,46984.441990395,72834.69,836969.781,3
7843,2015,40619.385276075,65190.42,745262.3,3
7843,2016,77573.29500276,129247.25,1425582.5280000002,3
7843,2017,30732.72075996,47404.47,565278.356,3
7843,2018,62704.684352655,95382.98,1154699.683,3
7843,2019,26850.742788765,39800.06,484013.722,3
7843,2020,19926.174282585,29690.8,369594.822,3
7843,2021,85615.68779409,125842.16,1551132.132,3
7843,2022,78920.88021849,118430.04,1433081.89,3
7843,2023,68890.38787092,103601.36,1276418.109,3
7843,2024,56611.213426155,85680.03,1047965.9169999999,3
7844,2011,1375.13460981,2332.02,25518.143,1
7844,2012,3797.8265834100002,6140.11,70457.31,1
7844,2013,1169.38142307,2026.96,21689.352,1
7844,2014,365.78787822,627.87,6784.105,1
7844,2015,337.803942525,430.59,5758.727,1
7844,2016,140.31793269000002,222.97,2544.69,1
7844,2017,291.70533675,442.82,5411.235,1
7844,2018,370.74564424500005,568.36,6876.032,1
7844,2019,132.13149525,210.22,2451.913,1
7844,2020,228.495407505,718.13,4237.891,1
7844,2021,864.47835894,2234.11,16017.468,1
7844,2022,512.290091055,746.69,9500.646,1
7844,2023,3944.9193736800003,6970.67,73185.127,1
7844,2024,3138.0971574150003,5615.48,57872.608,1
7845,2011,1102254.964805895,2798509.83,19933841.239,14
7845,2012,1530594.1096944602,3809958.32,27567817.327,14
7845,2013,990577.8368825851,2547455.75,18346386.845,14
7845,2014,950542.603450155,2465879.19,17571749.814,14
7845,2015,1450213.0217784152,3735874.7,26882513.899,14
7845,2016,1576592.43705393,3994667.44,29235402.88,14
7845,2017,1325997.811532895,3507675.25,24589240.375,14
7845,2018,1536552.19414593,3696104.93,28490041.708,14
7845,2019,1383783.86945019,3650312.21,25655372.324,14
7845,2020,1366425.268214445,3849296.16,25338618.621999998,14
7845,2021,1113359.65944789,2999658.15,20643808.104,14
7845,2022,1570169.36767323,4195396.97,29045460.941,14
7845,2023,1213636.9128739052,3511015.99,22507284.677,14
7845,2024,1255334.70161814,3588700.13,23270754.663,14
7846,2011,1265747.339296665,2119749.99,23477365.029,3
7846,2012,1501534.92572073,2598387.95,27850906.018,3
7846,2013,1267190.7060118802,2205258.33,23503254.851,3
7846,2014,1355205.0871075802,2332803.84,25134576.871,3
7846,2015,1514928.544279335,2651601.96,28096441.691,3
7846,2016,1136432.5328160601,2008540.9100000001,21077272.647,3
7846,2017,1524610.70933838,2710280.73,28274786.914,3
7846,2018,1628876.234694855,2902065.35,30174899.055,3
7846,2019,1400603.34243384,2585366.33,25977718.059,3
7846,2020,1938054.339191295,3599370.49,35947312.271,3
7846,2021,1812959.273801085,3362572.2800000003,33625302.997999996,3
7846,2022,1801413.4568241,3322248.56,33413346.902,3
7846,2023,1755092.497284045,3307524.3100000005,32553021.79,3
7846,2024,1963005.7749700649,3669567.44,36410390.568,3
7848,2011,27757.142166555,40281.72,514835.654,3
7848,2012,81171.224278605,117928.06,1505370.069,3
7848,2013,11774.0275284,16656.510000000002,217706.07400000002,3
7848,2014,5483.732837115001,6958.1,99402.894,3
7848,2015,4197.02971392,6060.87,77185.439,3
7848,2016,20182.811475975002,29929.38,373516.154,3
7848,2017,28035.155360099998,41088.14,518491.122,3
7848,2018,98555.12327526,147539.8,1826869.71,3
7848,2019,113295.57680760001,166605.31,2100528.7199999997,3
7848,2020,149471.916498345,223283.58,2771409.671,3
7848,2021,70387.133351535,93436.45,1223021.0899999999,3
7848,2022,135292.308319815,192300.78,2491689.156,3
7848,2023,135526.00189737,195009.25,2512765.965,3
7848,2024,189344.586007515,279771.71,3444983.5609999998,3
7858,2011,13527.036442185,19175.22,250916.98500000002,5
7858,2012,15070.557288585,21635.95,279540.192,5
7858,2013,0.0,0.0,0.0,5
7858,2014,0.0,0.0,0.0,5
7858,2015,911.475077865,1369.8600000000001,16903.114,5
7858,2016,1050.32427804,1361.8,19485.601,5
7858,2017,3119.32477821,4367.49,57855.058000000005,5
7858,2018,1994.398141695,2601.0600000000004,36990.518,5
7858,2019,6090.9489522,7645.83,112976.036,5
7858,2020,18606.617454615,19381.739999999998,345110.868,5
7858,2021,52141.58641314,61402.31,967126.0989999999,5
7858,2022,0.0,0.0,0.0,5
7863,2011,8458.321691685,12070.470000000001,151041.24,2
7863,2012,17524.81657863,26365.21,324542.055,2
7863,2013,11076.896679225,16589.3,203927.569,2
7863,2014,7438.246590285,10487.22,131036.164,2
7863,2015,2906.6162040750005,4304.49,53897.513,2
7863,2016,3878.5787490000002,5811.389999999999,71854.2,2
7863,2017,10296.640468500002,15625.61,192394.0,2
7863,2018,5479.669555500001,8193.310000000001,102351.8,2
7863,2019,2246.4622155,3151.96,40108.0,2
7863,2020,3390.2410634999997,4991.62,63307.0,2
7863,2021,43813.769634000004,64144.61,803923.0,2
7863,2022,25738.108508999998,38287.759999999995,480766.5,2
7863,2023,24081.951573,35349.0,449795.9,2
7863,2024,17494.427695500002,26241.22,326313.6,2
7869,2011,47812.119482625,88880.0,882508.575,3
7869,2012,76068.709629375,140703.75,1409978.825,3
7869,2013,77959.124412,145886.5,1443647.0,3
7869,2014,110822.83090162501,206624.25,2032661.525,3
7869,2015,102196.726251375,186903.5,1879914.975,3
7869,2016,108988.54819087501,200728.5,2018247.5750000002,3
7869,2017,58484.538657749996,106729.25,1079465.3,3
7869,2018,49698.7694475,91948.5,910467.525,3
7869,2019,45533.633636625,85633.0,842456.6499999999,3
7869,2020,60441.69957674999,112867.0,1116843.675,3
7869,2021,79765.414115205,150817.88999999998,1473985.3360000001,3
7869,2022,113297.170731645,212696.43,2086930.2110000001,3
7869,2023,85971.889448415,162159.43,1593288.35,3
7869,2024,75980.262720615,143038.22999999998,1406465.007,3
7870,2011,44140.952254545,68314.44,814778.326,3
7870,2012,52089.690895215,80583.44,965482.667,3
7870,2013,133598.85791565,206155.55,2477698.199,3
7870,2014,105542.28119614499,158728.75,1956526.953,3
7870,2015,142971.99312600002,210095.44,2651286.208,3
