State,Facility Name,Facility ID,Unit ID,unit_id,Associated Stacks,Year,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
TN,Johnsonville,3406,9,2275,CSJO10,2012,2562,2552.98,259177.45,,1415.339,1.0976,265606.414,0.104,352.229,0.2755,2553298.014,Coal,,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT1,88166,,2012,86,86.0,2982.0,,1.542,0.1147,,,8.71,0.4786,38173.6,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT10,88167,,2012,98,98.0,3181.0,,1.655,0.0931,,,9.387,0.4648,41119.7,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT11,88168,,2012,108,108.0,3485.0,,1.355,0.0857,,,9.068,0.461,40349.5,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT12,88169,,2012,106,106.0,3918.0,,1.915,0.093,,,11.065,0.465,48552.9,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT13,88170,,2012,119,119.0,4194.0,,1.242,0.0539,,,11.75,0.4409,53905.8,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT14,88171,,2012,157,157.0,5445.0,,1.756,0.0575,,,15.538,0.4433,70915.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT15,88172,,2012,125,125.0,4293.0,,1.069,0.0513,,,12.031,0.4392,55855.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT16,88173,,2012,126,126.0,4177.0,,1.533,0.0559,,,17.328,0.4422,80465.4,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT17,2276,,2012,911,814.87,55511.14,,0.547,0.0024,47134.464,0.1529,8.736,0.0303,646520.53,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
TN,Johnsonville,3406,JCT18,2277,,2012,809,718.86,49937.47,,0.642,0.0029,42294.677,0.0932,9.27,0.0353,579691.317,Diesel Oil,Pipeline Natural Gas,Combustion turbine,,Dry Low NOx Burners|Water Injection,,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
