"State","Facility Name","Facility ID","Unit ID","unit_id","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"ME","Westbrook Energy Center",55294,"2",4466,,2012,5923,5708.01,1232911.86,,2.463,0.001,487859.12,0.059,45.064,0.0171,8209177.975,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction",,,"ARP, RGGI"
"CA","Blythe Energy",55295,"1",4467,,2012,4656,4528.31,578758.23,,1.864,0.001,369198.879,0.059,30.152,0.0133,6212464.66,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","Blythe Energy",55295,"2",4468,,2012,4772,4674.67,597103.2,,1.927,0.001,381803.999,0.059,31.866,0.0132,6424548.982,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"IL","Calumet Energy Team, LLC",55296,"**1",4469,,2012,236,190.79,27053.35,,0.084,0.001,16215.626,0.0581,10.067,0.0769,278795.137,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"IL","Calumet Energy Team, LLC",55296,"**2",4470,,2012,230,189.88,26857.72,,0.083,0.001,16038.998,0.0581,10.421,0.0791,275630.746,"Pipeline Natural Gas",,"Combustion turbine",,"Dry Low NOx Burners",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"MI","Covert Generating Station",55297,"001",4471,,2012,4500,4476.18,1496023.84,,3.075,0.001,609224.332,0.059,32.818,0.0074,10251313.432,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"MI","Covert Generating Station",55297,"002",4472,,2012,3989,3972.67,1293836.04,,2.657,0.001,526304.048,0.059,33.707,0.0084,8856109.969,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"MI","Covert Generating Station",55297,"003",4473,,2012,4203,4183.7,1374876.65,,2.79,0.001,552750.341,0.059,29.512,0.0072,9301090.372,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"PA","Fairless Energy Center",55298,"1A",4475,,2012,7684,7668.75,2103576.29,,4.395,0.001,870625.863,0.059,58.203,0.0083,14650052.569,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
"PA","Fairless Energy Center",55298,"1B",4476,,2012,7974,7958.55,2232803.27,,4.547,0.001,900744.839,0.059,61.547,0.0086,15156731.777,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP, CAIRNOX, CAIROS, CAIRSO2"
